,0,Class
0,"Article
A Detailed Process and Techno-Economic Analysis of Methanol
Synthesis from H2 and CO2 with Intermediate Condensation Steps
Bruno Lacerda de Oliveira Campos *, Kelechi John, Philipp Beeskow, Karla Herrera Delgado *
,
Nicolaus Dahmen and Jörg Sauer",0
1,", Stephan Pitter",0
2,"Institute of Catalysis Research and Technology (IKFT), Karlsruhe Institute of Technology (KIT),
Hermann-von Helmholtz-Platz 1, D-76344 Eggenstein-Leopoldshafen, Germany
* Correspondence: bruno.campos@kit.edu (B.L.d.O.C.); karla.herrera@kit.edu (K.H.D.)",0
3,"Abstract: In order to increase the typically low equilibrium CO2 conversion to methanol using
commercially proven technology, the addition of two intermediate condensation units between
reaction steps is evaluated in this work. Detailed process simulations with heat integration and
techno-economic analyses of methanol synthesis from green H2 and captured CO2 are presented here,
comparing the proposed process with condensation steps with the conventional approach. In the new
process, a CO2 single-pass conversion of 53.9% was achieved, which is signiﬁcantly higher than the
conversion of the conventional process (28.5%) and its equilibrium conversion (30.4%). Consequently,
the total recycle stream ﬂow was halved, which reduced reactant losses in the purge stream and the
compression work of the recycle streams, lowering operating costs by 4.8% (61.2 M€·a−1). In spite of
the additional number of heat exchangers and ﬂash drums related to the intermediate condensation
units, the ﬁxed investment costs of the improved process decreased by 22.7% (94.5 M€). This was a
consequence of the increased reaction rates and lower recycle ﬂows, reducing the required size of the
main equipment. Therefore, intermediate condensation steps are beneﬁcial for methanol synthesis
from H2/CO2, signiﬁcantly boosting CO2 single-pass conversion, which consequently reduces both
the investment and operating costs.",0
4,"Keywords: methanol synthesis; CO2 utilization; power-to-X; intermediate condensation steps;
product removal; techno-economic analysis; heat integration; plant simulation",0
5,1. Introduction,0
6,"Sustainable solutions are required to reduce the greenhouse gas emissions of the
transportation and industrial sectors, shrinking the dependency on fossil fuels. With the
continuously increasing installed capacity of wind and solar power plants [1], adequate
energy storage solutions have to be implemented in order to deal with their ﬂuctuating
nature. Therefore, the conversion of electricity into valuable chemicals and fuels, a concept
often called power-to-fuels or power-to-X, can make an important contribution to the
future energy system [2]. In this context, key process steps are hydrogen generation via
electrolysis (primary conversion) [3,4] and methanol synthesis (secondary conversion) [5].
Methanol can be used as a fuel substitute or additive, either in fuel cells or via
combustion [2], as a feedstock in the production of base chemicals (e.g., formaldehyde)
and liquid fuels (e.g., gasoline, oxymethylene ethers, jetfuel) [6–8], and also as a solvent.
Methanol fuel has recently attracted signiﬁcant interest, especially in China, where the
consumption of methanol for thermal applications (e.g., boilers, kilns, cooking stoves) and
in the transportation section amounted to 5.7 Mton·a−1 (year 2019) [9].
The current global capacity of methanol production is 164 Mton·a−1 (year 2021), with
an annual increase of 10% projected for the next decade [10]. Traditionally, methanol
synthesis is fed by fossil-based syngas, which comes either from steam reforming of natural
gas or from coal gasiﬁcation [11]. However, sustainable syngas production is gaining",0
7,"Citation: Lacerda de Oliveira
Campos, B.; John, K.; Beeskow, P.;
Herrera Delgado, K.; Pitter, S.;
Dahmen, N.; Sauer, J. A Detailed
Process and Techno-Economic
Analysis of Methanol Synthesis from
H2 and CO2 with Intermediate
Condensation Steps. Processes 2022,
10, 1535. https://doi.org/10.3390/
pr10081535",0
8,"Academic Editors: Elio Santacesaria,
Riccardo Tesser and Vincenzo Russo",0
9,"Received: 13 July 2022
Accepted: 3 August 2022
Published: 5 August 2022",0
10,"Publisher’s Note: MDPI stays neutral
with regard to jurisdictional claims in
published maps and institutional afﬁl-
iations.",0
11,"Copyright: © 2022 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
12,"Processes 2022, 10, 1535. https://doi.org/10.3390/pr10081535",0
13,https://www.mdpi.com/journal/processes,0
14,"Processes 2022, 10, 1535",0
15,2 of 24,0
16,"importance, such as from renewable electricity and captured CO2, and also from biomass.
In Figure 1, a scheme is presented showing the intermediate position of methanol in the
conversion of both fossil-based and sustainable syngas to added-value chemicals and fuels,
as well as methanol end-use applications.",0
17,"Figure 1. The key position of methanol to convert syngas sources into added-value chemicals and
fuels. Icons from: Freepik, Flaticon [12].",0
18,"The current world-scale technology for methanol synthesis is mostly based on the
application of Cu/ZnO/Al2O3 (CZA) catalysts in either multi-tube reactors with boiling
water as the cooling ﬂuid, normally called isothermal reactors (e.g., the Lurgi process, the
Linde process), or adiabatic reactors with intermediate cold syngas quenching, generally
named quench reactors (e.g., ICI and the Casale process, the Haldor Topsoe process) [11,13].
Less common but also industrially applied are the adiabatic reactors with intermediate
cooling (e.g., the Kellogg process, the Toyo process) [11,14]. Normally, temperatures
between 200 and 300 ◦C and pressures between 50 and 100 bar are applied [13].",0
19,"Methanol can be produced from either CO (Equation (1)) or CO2 (Equation (2)),
with the reverse water–gas shift reaction (rWGSR, Equation (3)) also occurring. If the
feed gas contains both CO and CO2, there is a prevailing opinion that direct CO hy-
drogenation (Equation (1)) on Cu/Zn-based catalysts is signiﬁcantly slower than CO2
hydrogenation [15,16], and kinetic models not considering this reaction can adequately
simulate experimental data [17–19].",0
20,"CO(g) + 2·H2(g)
CO2(g) + 3·H2(g)
CO2(g) + H2(g)",0
21,"(cid:29) CH3OH(g)
(cid:29) CH3OH(g) + H2O(g)
(cid:29) CO(g) + H2O(g)",0
22,"(3)
With regard to the general use of CO2 as a carbon source, several process simulations
and techno-economic analyses of methanol synthesis from green hydrogen and captured
CO2 have been reported, with the CO2 source being either a cleaned industrial ﬂue gas or
concentrated atmospheric CO2 (i.e., through carbon capture units, CCUs) [20–22]. Pérez-
Fortes et al. [20] and Szima et al. [21] simulated a methanol synthesis plant with CZA,",0
23,∆H0,0
24,"25 ◦C = −90.6 kJ·mol−1
25 ◦C = −49.4 kJ·mol−1
∆H0
25 ◦C = 41.2 kJ·mol−1
∆H0",0
25,-1,0
26,-2,0
27,"Processes 2022, 10, 1535",0
28,3 of 24,0
29,"having a total production of 440 and 100 kton MeOH·a−1, respectively. Heat integration
was considered in both studies, with the plant being energetically self-sufﬁcient. Cordero-
Lanzac et al. [22] simulated the production of 275 kton MeOH·a−1 with an In2O3/Co
catalyst. In all studies, it was concluded that economic viability can be achieved if reactant
prices signiﬁcantly decrease or if CO2 taxation is enforced. Nonetheless, it is expected
that the costs of electrolysis and CCUs might considerably decrease in the foreseeable
future [23,24], and the ﬁrst industrial-scale plants to produce e-methanol and e-gasoline
are expected to start operating in 2024–2025 [25,26].",0
30,"A general argument is the thermodynamic restrictions of CO2 conversion to methanol
compared to CO conversion (see Figure 2), whereby only limited methanol yields are
achievable even at elevated pressures and lower temperatures. Consequently, a low CO2
single-pass conversion (XCO2,SP) is obtained independently of the reactor size, leading to
large recycle streams, which increase operating costs and cause higher reactant losses in
purge streams.",0
31,"Figure 2. Methanol equilibrium yield as a function of temperature and pressure. Data generated with
Aspen Plus. (a) H2/CO feed in a 2:1 ratio. (b) H2/CO2 feed in a 3:1 ratio.",0
32,"If the products (i.e., methanol and water) are removed from the reacting system, the
thermodynamic equilibrium is shifted towards a higher methanol yield. This strategy
has been studied using alternative reactor designs with in situ condensation [27,28] or
membrane reactors [29], but these technologies are not yet ready for commercialization.
A feasible approach using commercially proven technology is the implementation of
intermediate condensation steps between reactor units displaced in series. In the Davy
series loop methanol process, two reactors with an intermediate condensation unit are
proposed for large scale methanol production from CO-rich syngas [13,30]. Although the
implementation of intermediate condensation steps is a promising strategy to increase
methanol yield from H2/CO2 syngas, such an approach has still not received particular
attention, and plant simulations with heat integration and techno-economic analyses are
not available in the literature yet, to the best of our knowledge.",0
33,"In this work, the conventional approach (named here the ‘one-step process’) is com-
pared with a new alternative approach including two condensation steps (named here the
‘three-step process’). Using our recently developed kinetic model for methanol synthesis [19],
both processes were implemented in Matlab in order to critically analyze and select key
process parameters (i.e., cooling ﬂuid temperature, number of reactor modules, and purge
fraction). With the optimized parameters, detailed methanol synthesis plants with heat inte-
gration were implemented in Aspen Plus, and techno-economic analyses were performed.",0
34,"Processes 2022, 10, 1535",0
35,4 of 24,0
36,"2. Methodology
2.1. Process Overview",1
