,0,Class
0,"Article
Investigating the Eﬀects of Water in Feedstock on the
Energetic Eﬃciency of Producing Polyoxymethylene
Dimethyl Ethers",0
1,"School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, China; fucl@tju.edu.cn",0
2,"and Chuanlei Fu 1,2",0
3,"Zhenwei Han 1,2,3,*
1
2 National Engineering Research Center of Distillation Technology, Tianjin 300072, China
3 Zhejiang Institute of Tianjin University, Ningbo 315201, China
* Correspondence: hanzhenwei@tju.edu.cn",0
4,Received: 21 August 2020; Accepted: 19 October 2020; Published: 24 October 2020,0
5,"Abstract: Large-scale eco-eﬃcient production of polyoxymethylene dimethyl ethers (PODEn) has
garnered wide attention as environmental-friendly diesel additives. Among the various PODEn
research studies, the eﬀect of water on the PODEn process is one of the most important research ﬁelds.
In this work, the eﬀects of water content in feedstock on the reboiler duty of the PODEn process
were analyzed by rigorous simulation. To ensure the accuracy of the model, vapor–liquid equilibria
(VLE) data of PODE2-H2O were measured and the model was regressed by using the experimental
data. Furthermore, the production process consisting of raw material preparation section and PODEn
synthesis section was evaluated by comparing it with the various water contents (0, 0.05, 0.10 and
0.15 g/g) in feedstock. We found the reboiler duty in the case of 0.10 g/g water in feedstock was
lowest (77.99 MJ/kg), which is even lower than anhydrous case (100.24 MJ/kg). The results suggest
that the water can be appropriately allowed in the production, which can reduce the reboiler duty of
the PODEn.",0
6,Keywords: poly(oxymethylene) dimethyl ether; vapor–liquid equilibrium; process simulation,0
7,"1. Introduction
Poly(oxymethylene) dimethyl ethers (PODEn) are environmentally benign diesel additives with
the formula of H3C-O-(CH2O)n-CH3(n ≥ 2) [1]. PODEn of chain lengths n = 3–5 have suitable ﬂash
points [2] and melting points [3], which could reduce the soot and also, indirectly, NOx during the
combustion process in compression ignition engines [4–6]. Thus, higher combustion eﬃciency could
be achieved by blending PODEn in diesel [7,8]. Moreover, PODEn can be used as oxygenated fuels to
direct oxidation fuel cells [9] and as green solvents for the chemical industry [10,11].",0
8,"Two kinds of synthesized educts are necessary for the synthesis of PODEn: end-group (CH3O-)
providers, such as methylal (DMM), methanol (MeOH), or dimethyl ethers (DME) and chain-group
(-CH2O-) providers, such as trioxane (TOX), formaldehyde (FA) or paraformaldehyde (PF) [12,13].
All these providers can be synthesized by methanol at the very start. Poly(oxymethylene) dimethyl
ethers is a key research direction for coal-based methanol, facing serious oversupply in China [14].
In the published articles, there are possible synthesis routes and technologies for production of PODEn:
DMM/TOX route [15–17], DMM/PF route [14,18], DME/ TOX route [19,20], and MeOH/FA solution
route [21–23]. The routes of DMM/TOX, DME/TOX, and DMM/PF have a high yield of PODE3−5 [14,15],
but these routes have high costs due to chain-group providers TOX and PF. In contrast, the route using
MeOH/FA solution has a lower yield of PODE3−5 [23,24]. Methylal and PODE2 are the main oligomers
in the MeOH/FA solution route due to the Schulz−Flory distribution of PODEn products [25–27].",0
9,"Appl. Sci. 2020, 10, 7474; doi:10.3390/app10217474",0
