,0,Class
0,"Article
Multi-Objective Collaborative Optimization of Distillation
Column Group Based on System Identiﬁcation
Renchu He 1,2",0
1,", Keshuai Ju 1, Linlin Li 3 and Jian Long 1,*",0
2,"1 Key Laboratory of Smart Manufacturing in Energy Chemical Process, Ministry of Education,",0
3,2,0
4,3,0
5,"East China University of Science and Technology, Shanghai 200237, China
Engineering Research Center of Process System Engineering, Ministry of Education, East China University of
Science and Technology, Shanghai 200237, China
School of Automation and Electrical Engineering, University of Science and Technology Beijing,
Beijing 100083, China",0
6,* Correspondence: longjian@ecust.edu.cn,0
7,"Abstract: In this paper, a multi-objective collaborative optimization (MOCO) strategy is proposed for
making decisions on a distillation column group. Firstly, based on data preprocessing, the operating
modes of the tower group are determined by use of the fuzzy C-means clustering method. Secondly,
based on the proposed concept of a collaborative variable, the discrete state-space model of the main
towers are constructed by the subspace identiﬁcation method. Then, a MOCO optimization model
is designed for the ethylene plant. Finally, NSGA-III is used to solve the optimization problem. An
analysis of a Pareto-optimal frontier and population is carried out. To illustrate the superiority of the
proposed strategy, the results are compared with historical data and the appealing operation area is
ﬁnally obtained.",0
8,Keywords: multi-objective optimization; ethylene; propylene; clustering; distillation column group,0
9,1. Introduction,0
10,"Citation: He, R.; Ju, K.; Li, L.; Long, J.
Multi-Objective Collaborative
Optimization of Distillation Column
Group Based on System
Identiﬁcation. Processes 2023, 11, 436.
https://doi.org/10.3390/pr11020436",0
11,"Academic Editors: Blaž Likozar
and Vincenzo Russo",0
12,"Received: 10 January 2023
Revised: 28 January 2023
Accepted: 30 January 2023
Published: 1 February 2023",0
13,"Copyright: © 2023 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
14,"In the real world, most optimization problems have multiple conﬂicting objectives.
Single objective optimization (SOO) which gives a single solution has difﬁculty weighing
multiple objectives. Unlike SOO, multi-objective optimization (MOO) gives a set of optimal
solutions, each of which corresponds to different values of the objective functions, which, in
turn, can form a Pareto frontier to provide rational guidance to decision-makers. Therefore,
MOO has many applications in renewable energy resources production optimization [1,2],
energy saving optimization [3,4], and emission reduction optimization [5–7]. In trade-off
MOO methods, priori methods, interactive methods, Pareto-dominated methods and new
dominance methods are available [8].",0
15,"In recent years, there has been a wealth of MOO research on single towers and tower
groups. Zhou et al. [9] optimized the decision variables of a methanol-to-propylene plant
under different operating conditions based on a MOO framework and achieved a balance
between total heating, cooling costs and product purity. For Fischer–Tropsch synthesis,
Zhang et al. [10] transformed the design of a reactive distillation column into a MOO
problem and determined the column structure based on the Pareto-optimal frontier. In [11],
MOO was used to weigh the total annual cost and energy of a cyclohexane–isopropanol–
water extractive distillation process. In [12], by considering three conﬂicting objectives, the
total annual cost, the CO2 emissions and the molar purity of a biodiesel product, an algal
biodiesel reactive distillation unit was optimized. Gu et al. [13] optimized heat-integrated
pressure-swing distillation based on MOO to reduce the total annual cost and CO2 emis-
sions, while saving energy. For similar purposes, MOO was also used for heteroazeotropic
distillation processes [14], dividing wall columns [15,16]. It is worth noting that ethylene is
one of the most produced chemical products in the world—the ethylene industry is also",0
16,"Processes 2023, 11, 436. https://doi.org/10.3390/pr11020436",0
17,https://www.mdpi.com/journal/processes,0
18,"Processes 2023, 11, 436",0
19,2 of 14,0
20,"the core of the petrochemical industry, but little research has been undertaken in this area.
Shen et al. [17] targeted the chilling train and demethanization system in ethylene manufac-
turing according to the Pareto-optimal frontier, and, by maximizing the exergy efﬁciency
and minimizing the operational cost, the optimal operation was selected. Multi-objective
adaptive surrogate model-assisted optimization was proposed by [18] et al. with energetic,
economic and environmental MOO performed for a practical ethylene separation process.
More research should be devoted to the ethylene industry.",0
21,"MOO studies of single towers and tower groups are essentially based on Aspen [9,11–18].
To build an Aspen model of a tower or tower group, it is necessary to have in-depth knowledge
of the physical parameters and it is difficult to obtain satisfactory Aspen models in the absence
of sufficient parameters. The question arises of how to conduct a MOO study of a tower group
in the absence of the necessary physical parameters or without access to Aspen software. This is
a problem. In addition, the optimization of Aspen-based MOO studies is separated from the
simulation of the process; interaction between software is required. Before population iteration,
the data in Aspen needs to be updated to the optimization platform, either manually or with
the help of plug-ins, which is inconvenient and inefficient.",0
22,"Under the above circumstances, it is important to study the MOO problem based on
historical data for the manipulated variables and control variables, but this also raises the
following questions: (1) How to handle contaminated data for modeling; (2) What kind of
model to build in order to optimize; (3) How to design a MOO problem for a distillation
column group.",0
23,"In order to address these problems, a multi-objective collaborative optimization
(MOCO) strategy based on system identiﬁcation is proposed for an ethylene tower group.
For the preprocessing of historical data, the Hampel method [19,20] is used to eliminate
missing values and outliers. Gaussian ﬁltering [21] is used to smooth the noise present
in the data. Considering the direct or indirect connection between towers, a collaborative
variable is proposed and applied. Fuzzy C-means clustering [22–24], a soft clustering
method, is used to distinguish the operating modes of the ethylene plant. Selecting the
data near the main operating mode, collaborative-variable-based linear discrete state-space
models of the target towers are constructed using a subspace identiﬁcation method [25].
A MOCO problem with the objectives of minimizing the impurity content in the ethylene
product, the impurity content in the propylene product, and the operating cost is designed
to optimize the top reﬂux ﬂow rates and steam ﬂow rates of bottom reboilers. NSGA-III [26]
is used to solve the optimization problem and the effectiveness of MOCO is analyzed.",0
24,"The remainder of this paper is organized as follows: Section 2 describes the ethylene
plant under study. Section 3 describes a data-preprocessing scheme, determines the operat-
ing modes, and constructs state-space models of the target towers. The MOCO problem is
described in Section 4. Section 5 provides a MOCO case study and discussion based on
historical data. The conclusions are presented in Section 6.",0
25,2. Description of Ethylene Plant,1
26,"The ethylene plant studied in this paper has a target annual production of 1 million
tons of ethylene and 500,000 tons of propylene. Without considering the product systems
of ethylene and propylene, the tower group for the distillation process consists of a de-
ethanizer (T1), a C2 hydrogenation reactor (R1), a green oil tower (T2), an ethylene distillation
column (T3), a low pressure depropanizer (T4), a high pressure depropanizer (T5), a C3
hydrogenation reactor (R2), a propylene distillation column A (T6), a propylene distillation
column B (T7), a debutanizer (T8) and several dryers (DR) and heat exchangers (EX).",1
27,"The tower group is shown in Figure 1. The main control variables of T1 are the
bottom C2 concentration (ethylene and ethane) and the top C3 concentration, which are
measured by online analyzers on the bottom and top lines, respectively. The feed to T1 is
the demethanizer bottom product in the upstream tower group. Its top product goes to R1,
where acetylene is selectively hydrogenated to produce ethylene and ethane. The bottom
product of R1 enters T3 after passing through T2 and a dryer. The main controlled variable",1
28,"Processes 2023, 11, 436",0
29,3 of 14,0
30,"of T3 is the impurity content in the top ethylene product; the ethylene extracted from the
tower side line is pumped out partially to the cryogenic tank area. The T4 bottom product
is fed to T8 and the top product is used as another feed to T5. The T5 top product is fed
to R2 after a dryer and an arsenic-protected bed, and is eventually provided as a feed to
T7. R2 selectively hydrogenates the methylacetylene (MA) and propadiene (PD) from the
T5 top product to produce propylene and propane. The propylene distillation column is
a two-tower system, with the top product of T6 fed to T7 and the bottom product used
for recirculation. The main controlled variable of T7 is the content of impurities in the top
product, the bottom product is fed to T6 and the product extracted from the tower side line
is used for polymerization.",1
31,Figure 1. Diagrammatic sketch of an ethylene plant.,1
32,3. Model Construction,0
33,"Data preprocessing is required before modeling with historical data, otherwise, it is
difﬁcult to obtain accurate models. On the premise of ensuring the stable operation of the
tower group, the operators need to complete the target according to the plan. Since the
actual operators change shifts by turns, the operation of the tower group will ﬂuctuate,
so it is necessary to identify the operating modes of the tower group. In addition, there is
coupling between towers, which makes it difﬁcult to build a complex model of a tower
group. Establishing a linear model of each tower near a certain operating point is a
good choice.",0
34,3.1. Data Preprocessing,0
35,"The Hampel method [19,20] was used to process the missing values and outliers in one
year’s data for the manipulated and controlled variables for T1, T3, T5, T6, T7. Given the data",0
36,"Processes 2023, 11, 436",0
37,4 of 14,0
38,"{x1, x2, . . . , xn}, and a sliding window of length k, the i-th median and standard-deviation
estimate are shown in (1), (2), respectively.",0
