,0,Class
0,"Article
Conceptual Process Design to Produce Bio-Acrylic Acid via Gas
Phase Dehydration of Lactic Acid Produced from Carob
Pod Extracts
Víctor M. Ortiz Martínez, María I. Saavedra, María J. Salar García *, Carlos Godínez, Luis J. Lozano-Blanco
and Sergio Sanchez-Segado *",0
1,"Department of Chemical and Environmental Engineering, Technical University of Cartagena, C/Dr. Fleming s/n,
30202 Cartagena, Spain
* Correspondence: mariajose.salar@upct.es (M.J.S.G.); sergio.segado@upct.es (S.S.-S.)",0
2,"Abstract: This work discusses the conceptual process design for the integrated production of bio-
based acrylic acid from carob pod aqueous extracts. CHEMCAD was used for the process simulation
and cost estimation of the relevant equipment. The process was designed for a capacity of 68 kt
of carob pod per year, operating 8000 h annually, and involving extraction, fermentation, catalytic
dehydration, and distillation to achieve 99.98%w/w acrylic acid as the main product. The economic
assessment for the base case suggests a ﬁxed capital investment of EUR 62.7 MM with an internal
rate of return of 15.8%. The results obtained show that carob pod is a promising biomass source for
the production of bio-acrylic acid.",0
3,Keywords: bioreﬁnery; carob pod; acrylic acid; lactic acid; process design,0
4,"Citation: Ortiz Martínez, V.M.;
Saavedra, M.I.; Salar García, M.J.;
Godínez, C.; Lozano-Blanco, L.J.;
Sanchez-Segado, S. Conceptual
Process Design to Produce
Bio-Acrylic Acid via Gas Phase
Dehydration of Lactic Acid Produced
from Carob Pod Extracts. Processes
2023, 11, 457. https://doi.org/
10.3390/pr11020457",0
5,Academic Editor: Francesca Blasi,0
6,"Received: 25 November 2022
Revised: 24 January 2023
Accepted: 30 January 2023
Published: 3 February 2023",0
7,"Copyright: © 2023 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
8,1. Introduction,0
9,"The use of renewable sources with the aim of moving from a fossil-based economy to a
more sustainable economy based on biomass is the object of numerous research efforts and
policy developments to implement this transition [1–3]. The carob tree (Ceratonia siliqua L.)
is an evergreen tree typical of the Mediterranean region whose pod can be classiﬁed into two
parts, the kibble (locust bean), which represents between 80–90%w/w of the pod, and the
seeds or kernels (locust kernel gum), which account for 20–10%w/w of the pod. The kibble
is mainly used for livestock feeding, while the seeds are used to produce locust bean gum,
which in turn is very much appreciated by the food industry. The primary composition of
carob kibble consists of 32–42%w/w sucrose, 7–10%w/w glucose, 10–12%w/w fructose, and
minor amounts of amino acids, minerals, and phenolic compounds [4]. Despite that, carob
kibble has minimal commercial value for farmers, and its chemical composition makes it a
cheap carbon and nitrogen source to be used in fermentative processes for the production
of bio-based chemicals [5]. Among the different bio-based chemicals that can be produced
through fermentation processes, lactic acid (LA) is one of the primary platform chemicals
for the green chemistry of the future because it has both carboxylic and hydroxyl groups,
providing a high versatility to be used as a precursor of several valuable chemicals such as
acrylic acid (AA) [6,7]. AA is a bulk chemical that is used in the manufacture of plastics,
coatings, adhesives, elastomers, ﬂoor polishes, and paints which are mainly produced by
propylene oxidation. Around 6 million tons of AA are produced annually. The global
market for AA and its derivatives is expected to increase at an annual rate of 3.5% during
the 2020–2025 period; therefore, there is great interest in replacing the petrol-based AA
with a bio-based equivalent [8].",0
