,0,Class
0,"Article
Thermo-Economic Analysis of Integrated Hydrogen,
Methanol and Dimethyl Ether Production Using Water
Electrolyzed Hydrogen
Yusra Muazzam 1, Muhammad Yousaf 1
Muhammad Rizwan 5 and Muhammad Adnan 1",0
1,", Muhammad Zaman 1",0
2,", Ali Elkamel 2,3,*",0
3,", Asif Mahmood 4",0
4,",",0
5,"1 Department of Chemical Engineering, Pakistan Institute of Engineering and Applied Sciences (PIEAS),",0
6,"Nilore, Islamabad 45650, Pakistan",0
7,"2 Chemical Engineering Department, University of Waterloo, Waterloo, ON N2L 3G1, Canada
3 Department of Chemical Engineering, Khalifa University, Abu Dhabi P.O. Box 127788, United Arab Emirates
4 Department of Chemistry, Pakistan Institute of Engineering and Applied Sciences (PIEAS), Nilore,",0
8,"Islamabad 45650, Pakistan",0
9,"5 Department of Chemical Engineering, College of Engineering, University of Bahrain, Isa Town Campus,",0
10,"Isa Town P.O. Box 32038, Bahrain",0
11,* Correspondence: aelkamel@uwaterloo.ca,0
12,"Abstract: Carbon capture and utilization is an attractive technique to mitigate the damage to the
environment. The aim of this study was to techno-economically investigate the hydrogenation
of CO2 to methanol and then conversion of methanol to dimethyl ether using Aspen Plus® (V.11,
Aspen Technology, Inc., Bedford, Massachusetts 01730, USA). Hydrogen was obtained from alkaline
water electrolysis, proton exchange membrane and solid oxide electrolysis processes for methanol
production. The major cost contributing factor in the methanol production was the cost of hydrogen
production; therefore, the cost per ton of methanol was highest for alkaline water electrolysis and
lowest for solid oxide electrolysis. The speciﬁc cost of methanol for solid oxide electrolysis, proton
exchange membrane and alkaline water electrolysis was estimated to be 701 $/ton, 760 $/ton and
920 $/ton, respectively. Similarly, the speciﬁc cost of dimethyl ether was estimated to be 1141 $/ton,
1230 $/ton and 1471 $/ton, using solid oxide electrolysis, proton exchange membrane and alkaline
water electrolysis based hydrogen production, respectively. The cost for methanol and dimethyl ether
production by proton exchange membrane was slightly higher than for the solid oxide electrolysis
process. However, the proton exchange membrane operates at a lower temperature, consequently
leading to less operational issues.",0
13,"Keywords: thermo-economic analysis; hydrogen production; alkaline water electrolysis; proton
exchange membrane; solid oxide electrolysis; methanol; dimethyl ether",0
14,1. Introduction,0
15,"The issue of global warming is becoming a central focus of the research community.
Global warming is mainly triggered by industry, urbanization, deforestation and over-
population. The emission of CO2 is especially problematic, as it contributes around 80%
of the total greenhouse gas (GHG) emissions [1] and its concentration in the environment
reached almost 420 ppm in 2021 [2].",0
16,"Carbon capture and sequestration (CCS) is an effective method for mitigation of CO2
levels. However, a major drawback of CCS is its economic penalty as it causes an increase
in cost of electricity of up to 45–70% [3] depending upon the type of power plant. Carbon
capture and utilization (CCU) is another approach to CO2 mitigation and shifting towards
‘clean and green energy’. In CCU, CO2 being released from some conventional power
plants is captured (and sometimes stored for a very short time) and then converted to some
useful products aligned to market demands. Sustainable CO2 utilization should recover the",0
17,"Citation: Muazzam, Y.; Yousaf, M.;
Zaman, M.; Elkamel, A.; Mahmood,
A.; Rizwan, M.; Adnan, M.
Thermo-Economic Analysis of
Integrated Hydrogen, Methanol and
Dimethyl Ether Production Using
Water Electrolyzed Hydrogen.
Resources 2022, 11, 85. https://
doi.org/10.3390/resources11100085",0
18,Academic Editor: Elena Rada,0
19,"Received: 27 July 2022
Accepted: 19 September 2022
Published: 27 September 2022",0
20,"Publisher’s Note: MDPI stays neutral
with regard to jurisdictional claims in
published maps and institutional afﬁl-
iations.",0
21,"Copyright: © 2022 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
22,"Resources 2022, 11, 85. https://doi.org/10.3390/resources11100085",0
23,https://www.mdpi.com/journal/resources,0
24,"Resources 2022, 11, 85",0
25,2 of 27,0
26,"cost of CO2 capture to some extent. Considering the environmental and economic concerns,
CCU is an attractive option for CO2 mitigation. However, CO2 is a highly stable molecule,
and it may therefore be difﬁcult to convert it into some other product; a high energy input
is required for CCU processes. Recently, adsorbents along with suitable catalysts have
been used to capture CO2 and convert it to some useful products [4]. Other options for
CO2 mitigation include improving the efﬁciency of already existing systems [5], e.g., co-
generation along with CO2 capture [6–8], switching towards ‘clean and green fuels’ [9] and
use of low quality or waste energy [10].",0
27,"Possibilities for CO2 utilization may be divided into physical and chemical utiliza-
tion. Physical utilization of CO2 includes its utilization in enhanced oil recovery (EOR),
enhanced gas recovery (EGR), etc. [11]. In chemical utilization, the CO2 molecule loses its
original identity and is converted to some other product. However, it may be emitted after
utilization of the other product or some part of it, depending on the end use of the product.
The chemical utilization of CO2 involves its conversion into syngas, methanol, sugar, acetic
acid, ethanol, dimethyl ether (DME), dimethyl carbonate (DMC), carbamates, etc. [12]. The
world is shifting from conventional fossil fuel consumption to alternative fuels to conserve
natural resources and deal with global warming issues. The focus of CCU techniques is the
conversion of CO2 into liquid fuels, which is termed as ‘Power to Liquid’ (PtL).",0
28,"Methanol is one of the most useful products of PtL since it can be used as a substitute
for gasoline. It is also used as a feedstock for DME, DMC, and acetic acid. Methanol is
used as a solvent in many industries [13]. Traditionally, methanol is produced using syngas
in the presence of Cu as catalyst [14]. Another method of methanol production is by CO2
hydrogenation employing Cu and Zn based catalysts [15]. Methanol can be produced
from CO2 and hydrogen in two ways. It can be formed by direct hydrogenation of CO2 as
presented by Equation (1) or by a reverse water gas shift reaction (RWGS) in which CO is
ﬁrst produced, as in Equation (2), and then methanol is produced by reaction presented in
Equation (3) [16].",0
29,CO2 Hydrogenation : CO2 + 3H2 (cid:10) CH3OH + H2O,0
30,RWGS : CO2 + H2 (cid:10) H2O + CO,0
31,CO Hydrogenation : CO + 2H2 (cid:10) CH3OH,0
32,-1,0
33,-2,0
34,-3,0
35,"Van-Dal et al. [17] simulated and analyzed the production of fuels including gasoline,
methanol, and mixed alcohols by hydrogenation of CO2. Lonis et al. [18] identiﬁed that
the major cost component is the cost of hydrogen production using water electrolysis tech-
niques. Yousaf et al. [19] carried out the techno-economic analysis of integrated hydrogen
(by solid oxide electrolyzer (SOE) steam electrolysis process) and methanol production
process (by hydrogenation of CO2) using Aspen Plus®. Use of the SOE resulted into a 22.3%
reduction of the cost of hydrogen as cosoimpared to alkaline water electrolysis (AEL). This
reduction in hydrogen cost along with conﬁguration improvement and parametric analysis
resulted into a methanol production cost of $701.5/ton which was less than AEL based on
a previous study ($1063/ton) [19]. However, further advances are required to match the
current market price of methanol.",0
36,"Production of dimethyl ether (DME) is another attractive option for PtL processes.
DME is produced by the dehydration of methanol or is directly produced from synthesis
gas. Conventional processes such as the gasiﬁcation of coal, oil and natural gas emit CO2
and syngas. The syngas is then converted to methanol and further to DME. Since in this
study methanol is produced by the hydrogenation of CO2, therefore the dehydration of
methanol is adopted for DME production in the current work. Due to recent environmental
issues, DME has gained much more attention as an alternative fuel for diesel, propane
and liqueﬁed petroleum gas in the automobile industry [20]. It is also used for power
generation and it is an efﬁcient fuel since it has a high cetane number of 55–60 [21]. DME is
considered a ‘clean fuel’ since it has no sulfur and nitrous oxide emissions.",0
37,"Resources 2022, 11, 85",0
38,3 of 27,0
39,"Hassan Babiker et al. [22] simulated the DME production by dehydration of methanol
in Aspen HYSYS®. It was found that more than 80% overall conversion of methanol into
DME can be achieved at a temperature range of 200–400 ◦C. Michael et al. [23] simulated
the dehydration of methanol for DME production using a nonrandom two-liquid (NRTL)
property package. The methanol dehydration took place in the reactor producing water
and DME, as presented by Equation (4). The purity of DME was 99%. It was mentioned
that methanol and DME consume CO2 and reduce the GHGs emissions by 82–86% since
no sulfur and nitrogen contents are involved in their combustion. It was also reported that
utilizing these fuels can reduce the consumption of fossil fuels by 82–91% [23].",0
40,2CH3OH → H2O + CH3 − O − CH3,0
41,-4,0
42,"Hydrogen must be produced by some ‘clean and green source’ since the aim of this
study is the mitigation of CO2 emissions. Hydrogen is mainly produced by conventional
and renewable techniques. Several methods of hydrogen production are shown in Figure 1.
Hydrogen produced by conventional processes utilizes fossil fuel energy in terms of coal,
oil, and natural gas, and consequently emits huge amounts of CO2. The second method
involves the utilization of renewable energy (RE) for hydrogen production [24]. The water
electrolysis process for hydrogen production uses RE. The main challenge in the production
of hydrogen by water electrolysis is the economics of the process.",0
43,Figure 1. Hydrogen production methods.,0
44,"The electrolysis of water needs energy for splitting water into hydrogen and oxygen.
Energy is supplied to water in terms of thermal and electrical energy. Worldwide, electroly-
sis of water contributes only a 4% share of total hydrogen production while the remainder
of hydrogen production still relies on conventional sources [25]. The contribution of water
electrolysis is less due to its high production cost for hydrogen compared to conventional
sources. The main challenges in water electrolysis include maintenance, minimization of
energy consumption, increasing durability and safety [26]. The hydrogen produced by
water electrolysis techniques is highly pure and can directly be supplied for utilization in
some cases [27]. The purity of the hydrogen gas produced depends upon the nature of the
electrolysis technique used. In this work, hydrogen is produced using water electrolysis
techniques and then used as a feed stock for methanol production utilizing captured CO2.
The methanol produced using hydrogen from water electrolysis is ﬁnally converted into
DME by a dehydration reaction.",0
45,"The most well-known green hydrogen production technologies based on water elec-
trolysis are alkaline water electrolysis (AEL), proton exchange membrane (PEM) and solid
oxide electrolyzer (SOE) [14]. AEL and PEM are low temperature technologies, while SOE is
a high temperature method for producing hydrogen from water electrolysis. AEL and PEM
have an operating temperature range of 60–95 ◦C while SOE operates at around 800 ◦C.
AEL and PEM are mature technologies compared to SOE. The main challenge associated",0
