,0,Class
0,"Article
Process of Formaldehyde and Volatile Organic
Compounds’ Removal from Waste Gases",0
1,"Jozsef Mursics, Danijela Urbancl * and Darko Goricanec",0
2,"Faculty of Chemistry and Chemical Engineering, University of Maribor, Smetanova Ulica 17,
2000 Maribor, Slovenia; jozsef.mursics@student.um.si (J.M.); darko.goricanec@um.si (D.G.)
* Correspondence: danijela.urbancl@um.si; Tel.: +386-2-22-94-479",0
3,Received: 5 June 2020; Accepted: 6 July 2020; Published: 8 July 2020,0
4,"Abstract: Waste gases that cannot be released into the environment are generated in chemical
industrial processes. There are various physico-chemical processes for the treatment of these gases,
but in most cases, they present a major cost to the company. There is an EU directive for each
industrial area describing the best available techniques (BAT) and the prescribed environmental limits
for the maximum discharge of dangerous substances into the environment. The current process for
the removal of formaldehyde and volatile organic compounds from waste industrial gases meets
EU environmental regulations. However, expected new EU directives will require a signiﬁcant
reduction in formaldehyde and volatile organic compounds’ concentrations in industrial exhaust
gases, thus necessitating a new technical solution for the removal of formaldehyde. This paper
describes two methods of removing formaldehyde and volatile organic compounds from waste
gases, generated by the metal oxide catalyst formaldehyde production processes. The ﬁrst method
involves upgrading existing processes of removing formaldehyde from waste gases with an additional
absorption plant, with which emissions can be signiﬁcantly reduced. The second method describes
the co-incineration of waste gases generated by a metal oxide catalyst formaldehyde production
process with natural gas in a gas turbine, where formaldehyde and volatile organic compounds
are completely removed, while electricity is also produced. The second method is also useful for
removing various concentrations of volatile organic compounds from waste gases generated in
chemical industrial processes.",0
5,Keywords: waste industrial gases; ecology; energy production; EU directives; process simulation,0
6,1. Introduction,0
7,"Formalin, an aqueous solution of formaldehyde, is one of the most important base products in the
production of high-volume products in the chemical industry [1]. The amount of international trade of
formaldehyde today is less than 2% of the total volume of formaldehyde produced. The transport costs
for formaldehyde aqueous solutions are very high because of the relatively high proportion of water in
the product. Therefore, formaldehyde is usually used or processed at the site of production [2]. Taking
into consideration the constant increases in energy expenses in the production of such a high volume
of formaldehyde aqueous solutions, an optimal way of increasing eﬃciency is the use of by-product
energy, based on energy released in the process, and on oﬀ-gases from the production of formaldehyde
from methanol [3]. Energy management has become a very important branch of research in the
chemical process industry [4]. New developments include trends toward annual emission coupon
distribution aﬀects, limiting time-related components in decision making, and executing the transition
to processes based upon the latest technologies.",0
8,"Appl. Sci. 2020, 10, 4702; doi:10.3390/app10144702",0
9,www.mdpi.com/journal/applsci,0
10,"Appl. Sci. 2020, 10, 4702",0
11,2 of 15,0
12,2. Production Processes of Formaldehyde,1
13,"•
•",0
14,"There are two basic production processes for formaldehyde:
The metal oxide catalyst process, operating with air surplus [5],
The silver catalyst process, operating with methanol surplus [6].
In the following sections, formaldehyde production plants using the two main process technologies
are described. This is the outcome of the development and investment in energetic process optimization,
including side streams of chemicals and energy, in various formaldehyde production plants over the
course of several years.",1
15,"At one site, PF (phenolic resin) and UF (urea resin) resins are manufactured, using the formaldehyde",1
16,produced and the excess steam from formaldehyde production.,1
17,2.1. Formaldehyde Production Using Metal Oxide Catalyst Processes,1
18,"During production with a metal oxide catalyst (molybdenum and iron oxide), formaldehyde is
formed by partial oxidation of methanol with oxygen [5]. The reactions take place on a metal oxide
catalyst in a reactor operating at a temperature of 250 to 500
C with a static layer of catalyst for
oxidation in the gas phase (ﬁxed-bed vapor-phase oxidation reactor) and a cooling system:",1
19,◦,0
20,CH3OH + 1/2 O2 → CH2O + H2O dH = −159 kJ/mol,0
21,-1,0
22,"To maintain the necessary oxidation atmosphere, the required ratio between methanol and air is
low; the methanol content is approximately 4 to 10 vol.%. This high surplus of air is possible because a
portion of the gas from the absorber is recycled, resulting in a suﬃcient reduction of oxygen to avoid
the formation of explosive mixtures. The overall process yield of formaldehyde from methanol is
90–92 mol percent. The thermal energy released during the reaction is discharged from the reactor
using thermal oil as a liquid medium for the energy transfer; the oil is then used for the production
of steam.",1
23,2.2. Formaldehyde Production Using Silver Catalyst Processes,1
24,"The ﬁrst industrial formaldehyde production processes used silver as catalyst [7]. This process
burdens the environment with gas emissions into the air, and with the generation of excess steam
condensate containing up to 0.2% of formaldehyde, which cannot be recycled into the process.",1
25,"The silver catalyst process partially converts methanol to formaldehyde with eﬃciency of up to
90%. The ternary mixture of formaldehyde/water/methanol must be separated via steam distillation.
Afterwards, the steam condensate is contaminated with formaldehyde (up to 0.2%), creating extra
costs for disposal or further treatment.",1
26,The synthesis is carried out using catalytic oxidation and dehydration of methanol in contact with,1
27,"a silver catalyst. Several reactions take place during the conversion process:
CH3OH + 1/2 O2 → CH2O + H2O dH = −159 kJ/mol",1
28,alternatively:,0
29,"CH3OH → CH2O + H2 dH = +84 kJ/mol
H2 + 1/2 O2 → H2O dH = −243 kJ/mol",0
30,-2,0
31,-3,0
32,-4,0
33,"Reaction (4) is exothermic. The thermal energy released in this reaction maintains the temperature
of the reactor and, at the same time, facilitates in reaction (3) the shift of the equilibrium to the right
side. This increases the formation of formaldehyde. Parallel to the main reactions (2)–(4), some side
reactions are carried out, reducing the eﬃciency of the process. The important side reactions are:",1
