,0,Class
0,"Article
CO2 Hydrogenation to Methanol by a Liquid-Phase
Process with Alcoholic Solvents: A Techno-Economic
Analysis",0
1,"Harri Nieminen *, Arto Laari and Tuomas Koiranen
Laboratory of Process Systems Engineering, Lappeenranta-Lahti University of Technology, P.O. Box 20 FI-53851
Lappeenranta, Finland
* Correspondence: harri.nieminen@lut.ﬁ; Tel.: +358-40-7451800",0
2,Received: 31 May 2019; Accepted: 24 June 2019; Published: 1 July 2019,0
3,"Abstract: Synthesis of methanol from recirculated CO2 and H2 produced by water electrolysis allows
sustainable production of fuels and chemical storage of energy. Production of renewable methanol
has, however, not achieved commercial breakthrough, and novel methods to improve economic
feasibility are needed. One possibility is to alter the reaction route to methanol using catalytic
alcoholic solvents, which makes the process possible at lower reaction temperatures. To estimate the
techno-economic potential of this approach, the feasibilities of the conventional gas-phase process
and an alternative liquid-phase process employing 2-butanol or 1-butanol solvents were compared by
means of ﬂowsheet modelling and economic analysis. As a result, it was found that despite improved
methanol yield, the presence of solvent adds complexity to the process and increases separation costs
due to the high volatility of the alcohols and formation of azeotropes. Hydrogen, produced from
wind electricity, was the major cost in all processes. The higher cost of the present, non-optimized
liquid-phase process is largely explained by the heat required in separation. If this heat could be
provided by heat integration, the resulting production costs approach the costs of the gas-phase
process. It is concluded that the novel reaction route provides promising possibilities, but new
breakthroughs in process synthesis, integration, optimization, and catalysis are needed before the
alcoholic solvent approach surpasses the traditional gas-phase process.",0
4,"Keywords: CO2 hydrogenation; methanol synthesis; liquid-phase process; alcohol promoted; process
simulation; techno-economic analysis",0
5,1. Introduction,0
6,"The synthesis of liquid fuels from hydrogen using captured CO2 as the carbon source would allow
sustainable fuel production with the potential to reduce CO2 emissions in the energy and transportation
sectors [1], while simultaneously providing an option for the chemical storage of intermittent renewable
electricity [2]. Such an approach could potentially make a signiﬁcant contribution to decarbonization
of the energy system [3]. Methanol provides an example of such a liquid energy carrier [4].",0
7,"Methanol is both an important industrial chemical and a useful multi-purpose fuel [5]. It can also
be readily converted into products such as gasoline in the methanol-to-gasoline process (MTG) [6]
or oleﬁns in the methanol-to-oleﬁns process (MTO) [7]. At present, most methanol comes from the
catalytic conversion of synthesis gas (syngas) that is usually generated by steam reforming of natural
gas [8]. The syngas, a mixture of hydrogen, CO, and CO2, is converted into methanol on copper
and zinc oxide (Cu/ZnO)-based catalysts at temperatures of 200–300
C and pressures of 50–100 bar.
The methanol synthesis process can be described by three equilibrium reactions:",0
8,◦,0
9,CO2 + 3H2 (cid:10) CH3OH + H2O,0
10,∆H0 = −49.8 kJ/mol,0
11,-1,0
12,"Processes 2019, 7, 405; doi:10.3390/pr7070405",0
13,www.mdpi.com/journal/processes,0
14,"Processes 2019, 7, 405",0
15,"CO2 + 2H2 (cid:10) CH3OH
CO + H2O (cid:10) CO2 + H2",0
16,"∆H0 = −91.0 kJ/mol
∆H0 = −41.2 kJ/mol",0
17,2 of 24,0
18,-2,0
19,-3,0
20,"Equations (1) and (2) represent the exothermic hydrogenation of CO2 and CO to methanol, and
Equation (3) represents the water-gas shift (WGS) reaction that is activated by the copper-based
methanol synthesis catalysts [8]. As Reactions (1) and (2) are exothermic and result in a reduction
of molar volume, methanol synthesis is favored at low temperatures and high pressures. However,
suﬃciently fast reaction kinetics requires temperatures above 200
C, and methanol conversion is thus
limited by the thermodynamic equilibrium.",0
21,◦,0
