,0,Class
0,"Article
Classical and Process Intensiﬁcation Methods for Acetic Acid
Concentration: Technical and Environmental Assessment
Letitia Petrescu * and Codruta-Maria Cormos",0
1,"Faculty of Chemistry and Chemical Engineering, Babes, -Bolyai University, 11 Arany Janos,
RO-400028 Cluj-Napoca, Romania
* Correspondence: letitia.petrescu@ubbcluj.ro",0
2,"Abstract: This study aims to investigate, from a technical and an environmental perspective, various
alternatives for acetic acid concentration for maximizing acetic acid production, its purity, and in the
meantime, minimizing the energy usage and the environmental impact. Liquid–liquid extraction
followed by azeotropic distillation using different solvents such as: (i) ethyl acetate, (ii) isopropyl
acetate, and (iii) a mixture containing isopropyl acetate and isopropanol were first explored, using
process flow modeling software. The three cases were compared considering various technical key
performance indicators (i.e., acetic acid flow-rate, acetic acid purity, acetic acid recovery, power con-
sumption, thermal energy used, and number of equipment units involved) leading to the conclusion
that the usage of the isopropyl acetate—isopropanol mixture leads to better technical results. The
isopropanol-isopropyl acetate mixture was furthermore investigated in other two cases where process
intensification methods, based on thermally coupled respectively the double-effect distillation process,
are proposed. The highest quantity of pure acetic acid (e.g., 136 kmol/h) and the highest recovery
rate (e.g., 97.74%) were obtained using the double-effect method. A cradle-to-gate life cycle assess-
ment, involving ReCiPe method, was used to calculate and compare various environmental impact
indicators (i.e., climate change, freshwater toxicity potential, human toxicity, etc.). Several steam
sources (i.e., hard coal, heavy fuel oil, light fuel oil, natural gas, and biomass) were considered in the
environmental evaluation. The results of the life cycle assessment show a reduction, by almost half, in
all the environmental impact indicators when the double effect method is compared to the thermally
coupled process. The usage of biomass for steam generation lead to lower impacts compared to steam
generation using fossil fuels (i.e., hard coal, heavy fuel oil, light fuel oil, natural gas).",0
3,"Keywords: acetic acid concentration; process intensiﬁcation; azeotropic distillation; thermally cou-
pled process; double-effect distillation process; life cycle assessment",0
4,1. Introduction,0
5,"Acetic acid, also called ethanoic acid, is an organic compound with the chemical
formula CH3COOH used in several domains such as chemical, pharmaceutical, polymer,
paint, textile and food industries [1].",0
6,"Around 15 million tons of acetic acid was used in the past year all over the world. It is
expected that in the following years the demand will grow up to 18 million tons and there
on to increase with 5% every year due to the enlarging range of utilization in the industrial
domain. The biggest quantity of this liquid is produced in the Asia-Paciﬁc region, where
it is also mostly consumed [2]. The demand for the acetic acid in 2020 was 11.9 tons and
during the forecasted period, it is projected to grow with 4.8% in the following years [3]. At
the beginning of 2022, it has been noticed that the Asia Paciﬁc area is the biggest producer
and consumer of this substance, and the vinyl acetate monomer is using one-third of the
total acetic acid obtained. In order to meet the growing request of the market for this
product, new plants will be built in China. It is expected that the North American and
European markets will decrease their demand since more production lines will be replaced",0
7,"Citation: Petrescu, L.; Cormos, C.-M.
Classical and Process Intensiﬁcation
Methods for Acetic Acid
Concentration: Technical and
Environmental Assessment. Energies
2022, 15, 8119. https://doi.org/
10.3390/en15218119",0
8,Academic Editor: Attilio Converti,0
9,"Received: 28 September 2022
Accepted: 26 October 2022
Published: 31 October 2022",0
10,"Publisher’s Note: MDPI stays neutral
with regard to jurisdictional claims in
published maps and institutional afﬁl-
iations.",0
11,"Copyright: © 2022 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
12,"Energies 2022, 15, 8119. https://doi.org/10.3390/en15218119",0
13,https://www.mdpi.com/journal/energies,0
14,"Energies 2022, 15, 8119",0
15,2 of 23,0
16,"with those from Asia [4]. The biggest producers of this substance are China, where 55% of
the total acetic acid is produced and the USA where 17% is produced [4], and the producers
are represented by companies such as British Petroleum, Lyondell Basell, and Eastman and
they ship it all over the globe [3]. The main consumers are located in China, the USA, Japan,
Europe, and the Asia Paciﬁc region with the main representatives as Jiangsu Sopo Co.Ltd.,
Shanghai Wujing Chemical, Indian Oil Corporation, DuPont. Lyondell Basel is involved
in the production of polymers and plastics since it produces high amounts of household
objects, construction materials, and car accessories [3].",0
17,"Due to its broad spectrum of applications, acetic acid is a vastly used substance in the",0
18,"food, pharmaceutical, and chemical industry as it can be seen in Figure 1.",0
19,"Figure 1. Acetic acid conversion routes in the industry [5,6].",0
