,0,Class
0,"Article
Process Optimization and CO2 Emission Analysis of
Coal/Biomass Gasiﬁcation Integrated with a Chemical
Looping Process
Ratikorn Sornumpol 1, Dang Saebea 2, Amornchai Arpornwichanop 3",0
1,"and Yaneeporn Patcharavorachot 1,*",0
2,"1 Department of Chemical Engineering, School of Engineering, King Mongkut’s Institute of Technology Ladkrabang,",0
3,"Bangkok 10520, Thailand",0
4,"2 Research Unit of Developing Technology and Innovation of Alternative Energy for Industries, Burapha University,",0
5,"Chonburi 20131, Thailand",0
6,"3 Center of Excellence in Process and Energy Systems Engineering, Department of Chemical Engineering,",0
7,"Faculty of Engineering, Chulalongkorn University, Bangkok 10330, Thailand",0
8,* Correspondence: yaneeporn.pa@kmitl.ac.th,0
9,"Abstract: Biomass gasification is an attractive technology and one of the pathways for producing
hydrogen. Due to the variable seasons and low calorific value of biomass, the addition of coal in the
gasifier is suggested because coal has a high calorific value and carbon-to-hydrogen ratio. In general, the
gaseous product obtained in gasification always contains a high amount of carbon dioxide, therefore, the
co-gasification of biomass and coal should integrate with the calcium looping carbon dioxide capture
process to provide purified hydrogen. In this work, the model of the co-gasification of biomass and
coal integrated with the calcium looping carbon dioxide capture process was developed through an
Aspen Plus simulator. The developed model was used to analyze the performance of this process. The
sensitivity analysis demonstrated that increasing the gasification temperature, steam-to-feed (S/F) ratio,
calcium oxide-to-feed (CaO/F) ratio, and regenerator temperature could improve hydrogen production.
Next, further optimization was performed to identify the optimal operating condition that maximizes
hydrogen production. The results showed that the optimal operating temperature of the gasifier is
700 ◦C with an S/F mass ratio of 2 and coal to biomass (C/B) mass ratio of 0.75:0.25. However, the
carbonator and regenerator temperatures should be 450 ◦C and 950 ◦C, respectively, with a CaO/F mass
ratio of 3. Under these operating conditions, the maximum H2 content and H2 yield can be provided as
99.59%vol. (dry basis) and 92.38 g hydrogen/kg biomass feeding. The other results revealed that the
energy efficiency and carbon capture efficiency of this process are 42.86% and 99.99%, respectively, and
that the specific emission of released CO2 is 80.77 g CO2/MJ.",0
10,Keywords: co-gasiﬁcation; calcium looping; biomass; coal; CO2 emission,0
11,1. Introduction,0
12,"Nowadays, conventional power generation based on fossil fuels encounters several
problems, including the depletion of fossil fuel resources and CO2 emissions as a green-
house gas. To solve these problems, many researchers have tried to develop alternative
renewable energy sources to replace fossil fuels. Hydrogen in particular is often perceived
as an energy carrier for the future since it is a clean, efﬁcient, renewable, and non-polluting
energy source with a high energy density (33.3 kW h/kg) [1]. This makes it a promising
source of renewable energy that could address the global energy crisis while also meeting
environmental concerns [2]. Nowadays, hydrogen can be used as fuel for mobile and
stationary applications through fuel cells or internal engines without carbon emissions [3],
however, it should be derived from renewable resources, e.g., biomass [4], ethanol [5,6],
and biodiesel [7], to support a sustainable energy system.",0
13,"Biomass, as an agricultural residue, is an alternative renewable energy source since it
is abundant, readily available, and inexpensive. The main advantage of biomass is CO2",0
14,"Citation: Sornumpol, R.; Saebea, D.;
Arpornwichanop, A.;
Patcharavorachot, Y. Process
Optimization and CO2 Emission
Analysis of Coal/Biomass
Gasiﬁcation Integrated with a
Chemical Looping Process. Energies
2023, 16, 2728. https://doi.org/
10.3390/en16062728",0
15,Academic Editor: Javier Fermoso,0
16,"Received: 14 February 2023
Revised: 12 March 2023
Accepted: 13 March 2023
Published: 15 March 2023",0
17,"Copyright: © 2023 by the authors.
Licensee MDPI, Basel, Switzerland.
This article is an open access article
distributed under
the terms and
conditions of the Creative Commons
Attribution (CC BY) license (https://
creativecommons.org/licenses/by/
4.0/).",0
18,"Energies 2023, 16, 2728. https://doi.org/10.3390/en16062728",0
19,https://www.mdpi.com/journal/energies,0
20,"Energies 2023, 16, 2728",0
21,2 of 17,0
22,"neutrality, which is a balance between CO2 emission from the production process and CO2
adsorption by the plant. In general, biomass is widely used for energy and heat production
through the combustion process [8]. In addition, the conversion of biomass into fuels,
chemicals, or gaseous products has received signiﬁcant attention since the energy storage
in this product form is easy to store, transport, and handle.",0
23,"The selection of methods to produce a chemical product from biomass depends on the
desired product. This research focuses on hydrogen production from biomass and thus,
the gasiﬁcation process is recommended. Although the product obtained from biomass
gasiﬁcation is synthesis gas or syngas, hydrogen can be further produced through various
puriﬁcation processes. At present, the investigation of the gasiﬁcation process has received
more attention in both the experiment and process simulation. Syngas production through
the gasiﬁcation process is affected by both the operating conditions of the gasiﬁer and
gasifying agent types. Arteaga-Pérez et al. [9] studied the gasiﬁcation of sugarcane bagasse
in a bubbling ﬂuidized bed gasiﬁer through simulation with the Aspen Plus simulator.
They reported that under the condition of 750 ◦C with an equivalent ratio of 0.3, the total
exergy efﬁciency and energy efﬁciency are the highest. The gasifying agent fed to react
with the biomass has an effect on both the composition and heating values of the syngas.
Fernandez-Lopez et al. [10] investigated the gasiﬁcation of animal wastes in a dual ﬂuidized
bed gasiﬁer by using the Aspen Plus simulator. At different ratios, two types of gasifying
agents, i.e., steam and CO2, were studied. The result indicated that the use of steam as a
gasifying agent can produce a higher H2/CO ratio than that of CO2. Shen et al. [11] studied
the CO2 gasiﬁcation of woody biomass in a lab-scale auto-thermal gasiﬁer. Their result
showed that the CO composition increased while CH4 decreased because of the Boudouard
reaction; carbon conversion and cold gas efﬁciency (CGE) increased with the CO2 addition.
Although biomass is renewable and available, its amounts may ﬂuctuate depending
on agriculture, season, cultivated area, and volume of agricultural production. Therefore,
biomass power plants cannot operate in some seasons. In addition, the use of biomass has
some obstacles to operation since it has a high moisture content, low bulk density, and low
caloriﬁc value, which have an impact on hydrogen production [12]. In order to resolve the
utilization of biomass, there are many researchers focusing on the co-gasiﬁcation of biomass
and coal [13–15]. Not only is coal cheap, easily transportable, and abundant in resources, but
coal gasiﬁcation has a high efﬁciency in hydrogen production. In addition, coal has a high
energy caloriﬁc value because the thermodynamic efﬁciency of coal is higher than biomass.
Shahabuddin and Bhattacharya [16] assessed the co-gasiﬁcation of coal and biomass with a
CO2 agent by using the Aspen Plus process simulator. They reported that the blending of
coal and biomass in an equal amount can provide a higher lower heating value (LHV) and
CGE than pure coal by 12% and 18%, respectively. Biomass blending of up to 50% favors
gasiﬁcation performance with an LHV of 12 MJ/kg and a CGE of 78%. Howaniec et al. [17]
determined the reactivity of coal, biomass, and fuel blends in a laboratory-scale ﬁxed bed
reactor which was operated at 700, 800, and 900 ◦C. Their results showed that the reactivity
of fuel blends of coal and biomass had the highest value compared to coal and biomass char
reactivity at the same operating conditions. Secer et al. [18] implemented response surface
methodology (RSM) to determine the optimal operating conditions of the hydrothermal
co-gasiﬁcation of sorghum at a constant temperature of 500 ◦C for maximum hydrogen
content. Their results showed that the highest total gas and hydrogen volumes could be
obtained under conditions where the higher levels of the water volume of the reactor and
lower levels of the coal percentage of the coal/biomass mixture were combined.",0
