,0,Class
0,"Article
Techno-Economic Assessment of Benzene Production
from Shale Gas",0
1,"Salvador I. Pérez-Uresti 1
and Arturo Jiménez-Gutiérrez 1,*
1 Departamento de Ingeniería Química, Instituto Tecnológico de Celaya, Celaya Gto. 38010, Mexico;",0
2,", Jorge M. Adrián-Mendiola 1, Mahmoud M. El-Halwagi 2",0
3,salvaperez91@hotmail.com (S.I.P.-U.); jorge.adrian.mendiola@outlook.com (J.M.A.-M.),0
4,"2 Chemical Engineering Department, Texas A&M University, College Station, TX 77843, USA;",0
5,el-halwagi@tamu.edu,0
6,* Correspondence: arturo@iqcelaya.itc.mx; Tel.: +52-461-611-7575 (ext. 5577),0
7,"Academic Editors: Fausto Gallucci and Vincenzo Spallina
Received: 8 May 2017; Accepted: 19 June 2017; Published: 23 June 2017",0
8,"Abstract: The availability and low cost of shale gas has boosted its use as fuel and as a raw material
to produce value-added compounds. Benzene is one of the chemicals that can be obtained from
methane, and represents one of the most important compounds in the petrochemical industry. It can
be synthesized via direct methane aromatization (DMA) or via indirect aromatization (using oxidative
coupling of methane). DMA is a direct-conversion process, while indirect aromatization involves
several stages. In this work, an economic, energy-saving, and environmental assessment for the
production of benzene from shale gas using DMA as a reaction path is presented. A sensitivity analysis
was conducted to observe the effect of the operating conditions on the proﬁtability of the process.
The results show that production of benzene using shale gas as feedstock can be accomplished with a
high return on investment.",0
9,Keywords: benzene; shale gas; direct methane aromatization; energy integration; CO2 emissions,0
10,1. Introduction,0
11,"The recent discoveries of large unconventional shale gas reserves have sparked a signiﬁcant
interest in their use as an energy source. Although methane is the main shale gas component, heavier
hydrocarbons such as C2, C3, and some inorganic gases (N2 and CO2) are also present in shale gas
reserves [1]. Because of the low permeability of rocks, shale gas extraction is more complicated than
that for natural gas. Nonetheless, an extraction technique that combines horizontal drilling with
hydraulic fracturing has been developed to provide shale gas for industrial processing [2]. The Energy
Information Administration [3] has reported that 32% of natural gas reserves are found as shale gas,
and that in 2009 proven shale gas reserves in the US numbered 60 TCF, while in 2013 this number
increased to 160 TCF [4]. Additionally, the production of shale gas in the US has increased substantially
in recent years, from 1.3 TCF in 2007 to nearly 15.2 TCF in 2015 [5]. The availability of shale gas has
not only led to a reduction in the price of natural gas, but has also motivated research to explore its use
as a feedstock for the synthesis of value-added chemicals [6–9].",0
