,Unnamed: 0,Paragraph,Class,Prediction
0,0,"Article
Multi-Aspect Comparison of Ethyl Acetate
Production Pathways: Reactive Distillation Process
Integration and Intensiﬁcation via Mechanical and
Chemical Approach",0,process
1,1,"Branislav Šulgan, Juraj Labovský and Zuzana Labovská *",0,process
2,2,"Institute of Chemical and Environmental Engineering, Faculty of Chemical and Food Technology,
Slovak University of Technology in Bratislava, Radlinského 9, 812 37 Bratislava, Slovakia;
branislav.sulgan@stuba.sk (B.Š.); juraj.labovsky@stuba.sk (J.L.)
* Correspondence: zuzana.labovska@stuba.sk; Tel.: +421-918-674-251",0,process
3,3,Received: 14 October 2020; Accepted: 2 December 2020; Published: 8 December 2020,0,process
4,4,"Abstract: This paper provides a multi-aspect comparison of selected methods of ethyl acetate
production and shows the possibility of further reactive distillation process integration and
sophisticated intensiﬁcation including process stream regeneration. The production pathways
were selected with respect to their practical applicability and suﬃcient experimental and feasibility
studies already published. A total of four case studies were designed and compared: conventional
process set-up (ethyl acetate is produced in a chemical reactor) is designed as a base case study; reactive
distillation with a separation unit is derived from the conventional process set-up. The mechanical
and chemical approach to reactive distillation process intensiﬁcation and integration were assumed:
reactive distillation column with a stripper and reactive distillation column with an auxiliary chemical
reaction (ethylene oxide hydration). Process models were compiled in the Aspen Plus software.
Complex process ﬂowsheets of selected case studies including separation and regeneration were
designed and optimized. Three diﬀerent points of view were applied to evaluate the selected process
beneﬁts and drawbacks. Process energy, economy, and safety were assessed. As a result, a reactive
distillation column with an auxiliary chemical reaction has been proven to be the most suitable
pathway for ethyl acetate production assuming all three evaluated aspects.",0,process
5,5,"Keywords: reactive distillation; process integration and intensiﬁcation; ethyl acetate; auxiliary
reaction; ethylene oxide; energy-economy-safety aspects",0,process
6,6,1. Introduction,0,process
7,7,Ethyl acetate is known as one of the key organic solvents.,0,process
8,8,"It is widely used in various
industries mainly due to its reasonable price, low toxicity, and suitable properties as a solvent [1].
Global consumption of ethyl acetate has been steadily increasing over the last decades [2]. At present,
the world’s annual production capacity is estimated at 3 million tons, which increases due to the
growing consumption of ethyl acetate expected in the following years. Therefore, it is necessary to
intensify existing ethyl acetate production and to design new plants employing more eﬃcient processes
compared to the conventionally used ones.",0,process
9,9,"The use of direct Fischer esteriﬁcation is still the most commonly used method to produce
ethyl acetate. Ethanol and acetic acid are used as reactants in the presence of an acidic catalyst.
Other chemical paths for ethyl acetate production implemented on an industrial scale are based
on ethylene acetylation or ethanol dehydrogenation respectively. However, these paths have been
denoted as non-economic and even potentially dangerous [3]. Therefore, esteriﬁcation is still preferred,",0,process
10,10,"Processes 2020, 8, 1618; doi:10.3390/pr8121618",0,process
11,11,www.mdpi.com/journal/processes,0,process
12,12,"Processes 2020, 8, 1618",0,process
13,13,2 of 32,0,process
14,14,"especially due to the possibility of using diﬀerent catalysts, the availability of raw materials from
renewable sources, and the potential for process intensiﬁcation [4]. At present, much attention is given
to overcoming the limitations associated with the equilibrium esteriﬁcation reaction; in particular,
separation of azeotropic mixtures formed during the production process, distillation boundaries,
by-product removal, energy consumption reduction, and improvement of process economy [5–7].",0,process
